titol,preu,venedor,label,catalog_number,media_condition,sleeve_condition,rating,shipped_from,link
"Cymande - Second Time Round (LP, Album, Ltd, RE, Gre)",£22.26,Beautiful-Vinyl,Partisan Records,PTKF3026-3,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:United Kingdom,https://www.discogs.com/sell/item/3106202355
"Algiers (2) - Shook (2xLP, Album, Ltd, Gol)",£22.99,Beautiful-Vinyl,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.46,Ships From:United Kingdom,https://www.discogs.com/sell/item/2755775563
"The Cinematic Orchestra - Man With A Movie Camera (LP, Ash + LP, Pew + Album, Ltd, RE)",£34.14,Beautiful-Vinyl,Ninja Tune,ZEN78XX,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.69,Ships From:United Kingdom,https://www.discogs.com/sell/item/3128890396
"Erland Dahlen - Racoons (LP, Album)",£27.21,Beautiful-Vinyl,Is It Jazz? Records,KAR268LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3446610174
"Pearl And The Oysters - Coast 2 Coast (LP, Album, Blu)",£25.23,Beautiful-Vinyl,Stones Throw Records,STH2481,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.76,Ships From:United Kingdom,https://www.discogs.com/sell/item/3120734680
"Madlib - Shades Of Blue (Madlib Invades Blue Note) (2xLP, Album, RE, 180)",£31.99,Beautiful-Vinyl,Blue Note,"5507723, 00602455077233","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:United Kingdom,https://www.discogs.com/sell/item/3863459137
Various - Slow (Motion And Movement) (LP),£21.49,Beautiful-Vinyl,Be With Records,BEWITH135LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3879674779
"A Certain Ratio - 1982 (LP, Album, Ora)",£22.26,Beautiful-Vinyl,Mute,STUMM480,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.51,Ships From:United Kingdom,https://www.discogs.com/sell/item/2744255575
"Arooj Aftab, Vijay Iyer, Shahzad Ismaily - Love In Exile (2xLP)",£31.99,Beautiful-Vinyl,Verve Records,B0037176-01,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.45,Ships From:United Kingdom,https://www.discogs.com/sell/item/2749655362
"Speakers Corner Quartet - Further Out Than The Edge (2xLP, Album, Ltd, Cle)",£29.19,Beautiful-Vinyl,OTIH Records,OTIH001LPC,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.56,Ships From:United Kingdom,https://www.discogs.com/sell/item/3338588523
Mama Terra - The Summoned (LP),£24.24,Beautiful-Vinyl,Acid Jazz,AJXLP727,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3116547099
"Sauveur Mallia - Spatial & Co Vol. 2 (LP, Ltd, RE)",£22.99,Beautiful-Vinyl,Tele Music,"TM 3076, BEWITH 122 LP","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:United Kingdom,https://www.discogs.com/sell/item/3879672571
"Kirk Degiorgio - Modal Forces / Percussive Forces (LP, Album, Gat)",£23.75,Beautiful-Vinyl,BBE,BBE722ALP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.88,Ships From:United Kingdom,https://www.discogs.com/sell/item/3388640400
"Beverly Glenn-Copeland - Primal Prayer (2xLP, Album, RE)",£30.18,Beautiful-Vinyl,Transgressive Records,TRANS464X,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3103108026
"Algiers (2) - Shook (2xLP, Album)",£25.23,Beautiful-Vinyl,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.26,Ships From:United Kingdom,https://www.discogs.com/sell/item/2755771636
"Cymande - Second Time Round (LP, Album, Ltd, RE, Gre)",$66.99,VinylKosmos,Partisan Records,PTKF3026-3,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:United States,https://www.discogs.com/sell/item/3706548925
"Sun Ra & His Arkestra* - Prophet (LP, Album, Yel)",$56.99,VinylKosmos,Modern Harmonic,MH-8268,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.36,Ships From:United States,https://www.discogs.com/sell/item/2388273250
"Carlos Niño & Friends - (I'm just) Chillin', on Fire (2xLP, Album)",$71.99,VinylKosmos,International Anthem Recording Company,IARC0067,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.53,Ships From:United States,https://www.discogs.com/sell/item/2723231383
"Carlos Niño & Friends - (I'm just) Chillin', on Fire (2xLP, Album, Ltd, Eth)",$76.99,VinylKosmos,International Anthem Recording Company,IARC0067,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.32,Ships From:United States,https://www.discogs.com/sell/item/2723231248
"Resavoir - Resavoir (LP, Album)",$59.99,VinylKosmos,International Anthem Recording Company,IARC0072,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.71,Ships From:United States,https://www.discogs.com/sell/item/2800189690
"Resavoir - Resavoir (LP, Album, Ltd, Ora)",$64.99,VinylKosmos,International Anthem Recording Company,IARC0072,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.71,Ships From:United States,https://www.discogs.com/sell/item/2800189582
"Bohren & Der Club Of Gore - Bohren For Beginners (3xLP, Comp, RE)",€32.99,schallhandel,[PIAS],PIASD5016LP3,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.69,Ships From:Germany,https://www.discogs.com/sell/item/2856468001
"Algiers (2) - Shook (2xLP, Album, Ltd, Gol)",€19.99,schallhandel,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.46,Ships From:Germany,https://www.discogs.com/sell/item/2425847042
"Shafiq Husayn, The Dove Society - So Gold (2xLP, Album, Ltd, Gol)",€34.79,schallhandel,Nature Sounds,NSD-180,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Germany,https://www.discogs.com/sell/item/2643471852
"Lonnie Holley - Oh Me Oh My (LP, Album, Cle)",€31.82,schallhandel,Jagjaguwar,"JAG437, JAG437LP-C1","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.22,Ships From:Germany,https://www.discogs.com/sell/item/2437609517
"Melanie De Biasio - Il Viaggio (Lay Your Ear To The Rail / The Chaos Azure) (2xLP, Album)",€34.99,schallhandel,[PIAS] Le Label,PIASLL202LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.61,Ships From:Germany,https://www.discogs.com/sell/item/3092005665
"Cymande - Second Time Round (LP, Album, Ltd, RE, Gre)",€29.99,schallhandel,Partisan Records,PTKF3026-3,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:Germany,https://www.discogs.com/sell/item/3151282589
"Precious Bloom - Lunar Fantasies (12"", EP)",€13.99,Dinamo_Records,Bless You,BLESSYOU017,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.62,Ships From:Italy,https://www.discogs.com/sell/item/2721243454
"Leones (6) - Voyage (LP, Album)",€15.99,Dinamo_Records,Star Creature,SC1238,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.33,Ships From:Italy,https://www.discogs.com/sell/item/2506679462
"Evolution For Good - Sacred Rhythm Music And Club Culture Foundation Presents Evolution For Good - A Song For Healing (12"", Mono, Ltd, Tra)",€87.99,Dinamo_Records,Sacred Rhythm Music,srmlp-1011,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Italy,https://www.discogs.com/sell/item/2969732567
"Djosa - Botanica Obscura (7"", Single)",€13.99,Dinamo_Records,Rush Hour Store Jams,RH-STORE JAMS 020,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.91,Ships From:Italy,https://www.discogs.com/sell/item/2646543408
"Adelhard Roidinger - Computer & Jazz Project I (LP, Album, RE, RM)",€19.99,Dinamo_Records,Ultimo Tango,UTAN003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:Italy,https://www.discogs.com/sell/item/3886348747
"Adelhard Roidinger - Computer & Jazz Project I (LP, Album, RE, RM)",€19.99,Dinamo_Records,Ultimo Tango,UTAN003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:Italy,https://www.discogs.com/sell/item/3886350916
"Adelhard Roidinger - Computer & Jazz Project I (LP, Album, RE, RM)",€19.99,Dinamo_Records,Ultimo Tango,UTAN003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:Italy,https://www.discogs.com/sell/item/2590388289
"Pino Presti & Garden Planet - Sharade (LP, Album, Ltd)",€10.99,Dinamo_Records,Private Recordings (2),"P-0475001, 0475001","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/3781327499
"Zy The Way - A Different Destiny (12"", Ltd, Cle)",€14.99,Dinamo_Records,Jazzy Couscous,JC17,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),3.67,Ships From:Italy,https://www.discogs.com/sell/item/2430528230
Kirk Degiorgio - Robe Of Dreams (LP),€22.99,Dinamo_Records,Neroli,NERO 059,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/3887587441
