titol,preu,venedor,label,catalog_number,media_condition,sleeve_condition,rating,shipped_from,link
"Felipe Gordon - Psychedelic Melancholia (LP, Album)",€25.00,DiscoboleRecords,Hip Dozer,HD16,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Greece,https://www.discogs.com/sell/item/3898265686
"Felipe Gordon - Psychedelic Melancholia (LP, Album)",€23.00,kaleidosmoker,Hip Dozer,HD16,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Greece,https://www.discogs.com/sell/item/3898264927
"Felipe Gordon - Psychedelic Melancholia (LP, Album)",€24.00,harmonic,Hip Dozer,HD16,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Greece,https://www.discogs.com/sell/item/3898264888
"Felipe Gordon - Psychedelic Melancholia (LP, Album)",€22.80,diskadik,Hip Dozer,HD16,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Greece,https://www.discogs.com/sell/item/3898264810
"Felipe Gordon - Psychedelic Melancholia (LP, Album)",€23.00,pakis,Hip Dozer,HD16,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Greece,https://www.discogs.com/sell/item/3898264813
"A Certain Ratio - 1982 (LP, Album, Ltd, Gre)",£39.99,heliconia,Mute,LSTUMM480,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.39,Ships From:United Kingdom,https://www.discogs.com/sell/item/3686881603
"Silvio Linardi, Riccardo Sinigaglia, Ruggero Tajé, Matteo Uggeri - Ottomani (LP, Album, Ltd)",£11.99,heliconia,Artisti Del 900,AD9 014,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3130483168
"Melanie De Biasio - Il Viaggio (Lay Your Ear To The Rail / The Chaos Azure) (2xLP, Album)",£24.99,heliconia,[PIAS] Le Label,PIASLL202LP,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.61,Ships From:United Kingdom,https://www.discogs.com/sell/item/3397768332
"Skyrager - Traces Of Illusion (2xLP, Comp)",£26.72,heliconia,Spacetalk Records,STLKLP009,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.92,Ships From:United Kingdom,https://www.discogs.com/sell/item/2969390168
"Asynchrone (2) - Plastic Bamboo (LP, Album, Whi)",€32.00,NORAVILLOSO,No Format,NOF 59 LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:France,https://www.discogs.com/sell/item/3411656277
"Jazzanova - Face At My Window (12"")",£23.25,Juno_Records,BBE,"BBE690SLP3, OEP1015","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3821203517
"Theo Parrish, Maurissa Rose - Free Myself / The Truth (7"")",$20.30,mosaic_seoul,Sound Signature,"SSv090 a/b, SSV90a/b","Very Good Plus (VG+)

                    



                                                Will show some signs that it was played and otherwise handled by a previous owner who took good care of it",Very Good Plus (VG+),4.80,Ships From:South Korea,https://www.discogs.com/sell/item/3898228507
"Algiers (2) - Shook (2xLP, Album, Ltd, Gol)",£15.90,Daddy-Pop,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.46,Ships From:United Kingdom,https://www.discogs.com/sell/item/3898225927
"Melanie De Biasio - Il Viaggio (Lay Your Ear To The Rail / The Chaos Azure) (2xLP, Album)",€22.69,recordsale-de,[PIAS] Le Label,PIASLL202LP,"Very Good Plus (VG+)

                    



                                                Will show some signs that it was played and otherwise handled by a previous owner who took good care of it",Very Good Plus (VG+),4.61,Ships From:Germany,https://www.discogs.com/sell/item/3898160905
"Jaga Jazzist - The Stix (20th Anniversary Edition) (LP, Tra + LP, Tra + Album, Ltd, RE)",€43.89,recordsale-de,Ninja Tune,ZEN81XX,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.53,Ships From:Germany,https://www.discogs.com/sell/item/3898158724
"Malo Moray & His Inflatable Knee - Atolls (2xLP, Album + Cass, Album + Box, Ltd)",€36.00,Die-Tonabnehmer,Possibly Sam,none,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.88,Ships From:Germany,https://www.discogs.com/sell/item/3898140622
"Ray Barretto / The Dells / Jimmy ""Bo"" Horne - Pastime / Paper / Spank (12"", W/Lbl)",A$38.50,fanatico_records,Respect (6),none,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.67,Ships From:Australia,https://www.discogs.com/sell/item/3893462728
"Juan Pablo Torres - Cuba Disco (LP, Album, RE)",$35.00,MintageRecords,Mondo Groove,MGLP 116,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:United States,https://www.discogs.com/sell/item/2557347216
"Various - The Sounds Of Patchwork Vol. 1 (LP, Comp)",$30.00,MintageRecords,Farfalla Records (2),FR09LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.69,Ships From:United States,https://www.discogs.com/sell/item/3431439930
"Various - ERR REC Library Vol.4 Sport & Physical Activity (LP, Comp, Ltd, Num)",$32.62,Operator_Music,ERR REC,ERRREC047,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),5.00,Ships From:United States,https://www.discogs.com/sell/item/3816062348
"Tenderlonious featuring The 22archestra - The Shakedown (2xLP, Album, Ltd, Num, Ora)",$39.55,Operator_Music,22a,22a 022,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.75,Ships From:United States,https://www.discogs.com/sell/item/3893998423
"Yon Seok-won* - The Mermaid (LP, Album, RE, Blu)",$26.24,Operator_Music,Pleasantville Records,28 rue Pville,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.71,Ships From:United States,https://www.discogs.com/sell/item/2994532958
"Coastlines (3) - Coastlines 2 (2xLP, Album, Ltd, RE)",$26.85,Operator_Music,Be With Records,BEWITH123LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.50,Ships From:United States,https://www.discogs.com/sell/item/2836879558
"Professor Creepshow - Dreamcast (LP, Ltd, Red)",$23.26,Operator_Music,SIC Records,none,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.50,Ships From:United States,https://www.discogs.com/sell/item/3665346081
"Carlos Niño & Friends - (I'm just) Chillin', on Fire (2xLP, Album, Ltd, Eth)",$31.57,Operator_Music,International Anthem Recording Company,IARC0067,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.32,Ships From:United States,https://www.discogs.com/sell/item/2725702549
"Algiers (2) - Shook (2xLP, Album, Ltd, Gol)",$13.63,Flipside22,Matador,OLE1784LP,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.46,Ships From:United States,https://www.discogs.com/sell/item/3759106351
"Laff & Wow - Laff & Wow (LP, Album, Ltd)",£15.50,Juno_Records,Beatbude,BB 021,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3821138468
"Various - Quartz/Mirliton Cassettes 1971-1979 Box 1 (QMC 1-8) (Box, Comp, Ltd, RM + LP, Album, RE + LP, Album, RE)",$399.00,jesusofnothing,Vinyl-on-demand,VOD177,Near Mint (NM or M-),Near Mint (NM or M-),4.94,Ships From:United States,https://www.discogs.com/sell/item/3898017229
"Various - Quartz/Mirliton Cassettes 1971-1979 Box 2 (QMC 9-16) (Box, Comp, Ltd, RM + LP, Album, RE + LP, Album, RE)",$399.00,jesusofnothing,Vinyl-on-demand,VOD177,Near Mint (NM or M-),Near Mint (NM or M-),4.94,Ships From:United States,https://www.discogs.com/sell/item/3898017175
"Sun Ra & His Arkestra* - Prophet (LP, Album, Yel)",£19.85,DiscogsDiscos,Modern Harmonic,MH-8268,"Very Good Plus (VG+)

                    



                                                Will show some signs that it was played and otherwise handled by a previous owner who took good care of it",Near Mint (NM or M-),4.36,Ships From:United Kingdom,https://www.discogs.com/sell/item/3897915268
"Masahiko Togashi & Isao Suzuki - A Day Of The Sun (LP, Album, Ltd, RE)",CHF35.52,FlonRecords,Cinedelic Records,CNLP78,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.43,Ships From:Switzerland,https://www.discogs.com/sell/item/3704972116
"Sparkle Division - Foxy (LP, Album, Ltd, Opa)",$16.48,purepop115,Temporary Residence Limited,TRR412,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.33,Ships From:United States,https://www.discogs.com/sell/item/2786835709
"Pino Presti & Garden Planet - Sharade (LP, Album, Ltd)",€16.00,Records_Na,Private Recordings (2),"P-0475001, 0475001","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/3897413662
"Beauty Pill - Describes Things As They Are (2xLP, RSD, Ltd, Cok)",$39.99,Elmhurstrecords13,Findings,findings001,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.30,Ships From:United States,https://www.discogs.com/sell/item/2512111442
"Arooj Aftab - Live In London (12"", RSD, Opa)",$21.00,Elmhurstrecords13,Verve Records,B0037055-01,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.76,Ships From:United States,https://www.discogs.com/sell/item/2512110710
"Various - Hotel Jolie Dame (LP, RSD, Comp, Ora)",€25.00,Noiretfeu,Jazz Dispensary,CR00630,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.37,Ships From:France,https://www.discogs.com/sell/item/3130284874
"Larry Manteca - Ufo Bossa (7"")",€17.00,_FIRSTCITY_,Four Flies Records,FLIES 45-45,"Very Good Plus (VG+)

                    



                                                Will show some signs that it was played and otherwise handled by a previous owner who took good care of it",Near Mint (NM or M-),4.86,Ships From:Netherlands,https://www.discogs.com/sell/item/3897348511
"Jpye - Bleu Your Mind (2xLP, Album)",£24.99,Margate_Records,Claremont 56,C56LP025,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.93,Ships From:United Kingdom,https://www.discogs.com/sell/item/3897333874
"Polyphia - Remember That You Will Die (LP, Album, Oxb)",£76.01,meadhbhis,Rise Records Inc.,502-1,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.59,Ships From:United Kingdom,https://www.discogs.com/sell/item/3887834314
"Herbie Hancock - Sextant (LP, Album, Club, RE, Lun)",$25.00,orangedroog,Columbia,19658819721,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.64,Ships From:United States,https://www.discogs.com/sell/item/3897161131
"Kenny Dixon Jr. / Theo Parrish - Lt 1 / Mustang 1 (12"", W/Lbl)",€33.50,tylerwatdoeje,Not On Label,LT 1 / MUSTANG 1,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Generic,4.94,Ships From:Netherlands,https://www.discogs.com/sell/item/3897147769
"Ivan The Tolerable - Under Magnetic Mountain (LP, Album, Ltd, Gre)",€35.35,KingzOfNoize,Library Of The Occult,LOTO030,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:Germany,https://www.discogs.com/sell/item/3398538870
"Alexander Skancke - Kingdom Couch (2x12"", Album)",€26.26,KingzOfNoize,Quirk (2),QRK007,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Germany,https://www.discogs.com/sell/item/3641654028
"Ivan The Tolerable - Black Water/Brown Earth (LP, Album, Ltd, Whi)",€30.30,KingzOfNoize,Up In Her Room,UIHR012,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.75,Ships From:Germany,https://www.discogs.com/sell/item/3471797028
"Ivan The Tolerable And Friends* - Autodidact (2023 Remaster) (LP, Album, Ltd, RE, RM, Kha)",€28.28,KingzOfNoize,Up In Her Room,UIHR018,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),3.86,Ships From:Germany,https://www.discogs.com/sell/item/3471799050
"Zero T* and Onj (2) - Kilburn (2x12"", Album)",€33.30,KingzOfNoize,The North Quarter,NQ035,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.82,Ships From:Germany,https://www.discogs.com/sell/item/3584164947
"Various - Jazz Montez Presents Vol. II (12"")",€28.00,BetinosRecordShop,Jazz Montez,JAM004,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:France,https://www.discogs.com/sell/item/2913648934
"Stanislas Tohon* - Owhaaou ! (12"", EP)",€24.99,Black-Monk,Hot Casa Records,HC 77,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.40,Ships From:Austria,https://www.discogs.com/sell/item/2697379657
"Madlib - Shades Of Blue (Madlib Invades Blue Note) (2xLP, Album, RE, 180)",€34.90,Black-Monk,Blue Note,"5507723, 00602455077233","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Austria,https://www.discogs.com/sell/item/3184873084
"Ramuntcho Matta - Ramuntcho Matta (LP, Album, RE, RM)",€28.95,Black-Monk,Wewantsounds,WWSLP77,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.25,Ships From:Austria,https://www.discogs.com/sell/item/3762221590
"Andrew Wasylyk - Parallel Light (LP, Album)",€28.95,Black-Monk,Athens Of The North,AOTNLP062,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:Austria,https://www.discogs.com/sell/item/2375716498
"Psyché (4) - Psyché (LP, Album)",€27.99,Black-Monk,Four Flies Records,FLIES 59,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.35,Ships From:Austria,https://www.discogs.com/sell/item/3031998127
"Pierre Dutour - Top Fiction (LP, RE, RM)",€28.49,Black-Monk,Be With Records,"BEWITH 147 LP, TM 3072","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.75,Ships From:Austria,https://www.discogs.com/sell/item/2723101645
"Isabelle Antena - En Cavale (2xLP, Album, RE)",€39.99,Black-Monk,Numero Group,192,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.33,Ships From:Austria,https://www.discogs.com/sell/item/3345453594
"Vicente Atria - Orlando Furioso (LP, Album)",€25.99,Black-Monk,Aguirre Records,ZORN94,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Austria,https://www.discogs.com/sell/item/3415588905
"Dennis Mpale - Paying My Bills (2x12"", Album, RE)",€37.50,Black-Monk,Sticky Buttons Records,SB003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Austria,https://www.discogs.com/sell/item/3351195198
"矢野顕子* = Akiko Yano - ト・キ・メ・キ (LP, Album, RE, RM)",€28.98,Black-Monk,Wewantsounds,WWSLP73,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.90,Ships From:Austria,https://www.discogs.com/sell/item/3757360696
"Lori Vambe - Space-Time Dreamtime: The Four-Dimensional Music Of Lori Vambe (LP, Album, RE, RM + LP, Album, RE, RM + Box, Comp,)",€43.74,Black-Monk,Strut,"STRUT340LP, STRUT340LP1, STRUT340LP2, DRUM 1, none","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Austria,https://www.discogs.com/sell/item/2782381534
"Johnny Lamas - Danza Cosmica (LP, Album, RE)",€29.99,Black-Monk,TrueClass Records,TC LP 002,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.89,Ships From:Austria,https://www.discogs.com/sell/item/3428565183
"Adelhard Roidinger - Computer & Jazz Project I (LP, Album, RE, RM)",€27.50,Black-Monk,Ultimo Tango,UTAN003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:Austria,https://www.discogs.com/sell/item/3160008658
"Shakatak - Eyes Of The World (LP, Album + CD, Album)",€23.95,AMBIORIX,Secret Records Limited,SECLP303,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.40,Ships From:Belgium,https://www.discogs.com/sell/item/3786623237
"Algiers (2) - Shook (2xLP, Album)",£14.90,cheekynoize,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.26,Ships From:United Kingdom,https://www.discogs.com/sell/item/3882425470
"Cymande - Second Time Round (LP, Album, Ltd, RE, Gre)",$32.50,SpinTimeRecords,Partisan Records,PTKF3026-3,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.60,Ships From:United States,https://www.discogs.com/sell/item/3896981956
"Love Cry Want - Love Cry Want (LP, Album, Ltd, Num, Tra)",$29.50,SpinTimeRecords,Lion Productions,LR-199,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),5.00,Ships From:United States,https://www.discogs.com/sell/item/3896981827
"Ultramarine - Send And Return (LP, Album)",€22.99,monosource,Blackford Hill,BH014V,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.79,Ships From:Netherlands,https://www.discogs.com/sell/item/3896956282
"Bibio - Sunbursting (12"", EP)",€25.90,green_hell,Warp Records,"WAP481, WAP481DX","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.11,Ships From:Germany,https://www.discogs.com/sell/item/3896947978
"Jungle Brothers - I Got U (2xLP, Album, Ltd, RE, RM, Gre)",€35.00,monosource,Slamboyant Records,RN1028,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),N/A,Ships From:Netherlands,https://www.discogs.com/sell/item/3896944327
"Bendik Giske - Bendik Giske (LP, Album)",€38.57,ulixes,Smalltown Supersound,STS417LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.29,Ships From:Belgium,https://www.discogs.com/sell/item/3896833012
"Speakers Corner Quartet - Further Out Than The Edge (2xLP, Album, Ltd, Cle)",£24.99,Boomshanka,OTIH Records,OTIH001LPC,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.56,Ships From:United Kingdom,https://www.discogs.com/sell/item/3099352830
"CS + Kreme - Orange (2xLP, Album)",£28.00,Mugwort_Maiden,The Trilogy Tapes,TTT102,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.81,Ships From:United Kingdom,https://www.discogs.com/sell/item/3813839387
"Erland Dahlen - Racoons (LP, Album)",£28.92,Juno_Records,Is It Jazz? Records,KAR268LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3821214461
"A Certain Ratio - 1982 (LP, Album, Ora)",£19.99,CurlyKidRecords,Mute,STUMM480,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.51,Ships From:United Kingdom,https://www.discogs.com/sell/item/3896669350
"Ultramarine - Send And Return (LP, Album)",$25.09,matt2011,Blackford Hill,BH014V,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.79,Ships From:United States,https://www.discogs.com/sell/item/2647437255
"Various - Intrigue (Steven Wilson Presents: Progressive Sounds In UK Alternative Music 1979-89) (Box + 7xLP, Comp, 140)",$237.85,matt2011,Demon Records,DEMRECBOX78,Near Mint (NM or M-),Near Mint (NM or M-),4.84,Ships From:United States,https://www.discogs.com/sell/item/2612974110
"Greg Foat & Gigi Masin - Dolphin (LP, Album, Cle)",$40.23,matt2011,Strut,STRUT311LP,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.35,Ships From:United States,https://www.discogs.com/sell/item/3109649049
"Jon Hassell - The Surgeon Of The Nightsky Restores Dead Things By The Power Of Sound (LP, Album, RE, RM, 180)",$39.74,matt2011,Intuition Records,INT 3004 1,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.86,Ships From:United States,https://www.discogs.com/sell/item/3002267432
"Roi Azulay - Reflections (LP, Ltd, Gre)",$27.68,matt2011,Sacred Rhythm Music,SRMLP 1010,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.56,Ships From:United States,https://www.discogs.com/sell/item/2651133252
"Lars Bartkuhn - Dystopia (LP, Album)",$24.20,matt2011,Rush Hour (4),RHM 042,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.57,Ships From:United States,https://www.discogs.com/sell/item/2629120335
Holsen & Cassiers - Walking In Circles (LP),£8.90,Juno_Records,Stroom (2),STRLP-065,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:United Kingdom,https://www.discogs.com/sell/item/3821117660
"Pearl And The Oysters - Coast 2 Coast (LP, Album, Blu)",$27.99,radiofuturamusic,Stones Throw Records,STH2481,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.76,Ships From:United States,https://www.discogs.com/sell/item/3398305344
"Bibio - Sunbursting (12"", EP)",$28.99,radiofuturamusic,Warp Records,"WAP481, WAP481DX","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.11,Ships From:United States,https://www.discogs.com/sell/item/2778013135
"Pino Presti & Garden Planet - Sharade (LP, Album, Ltd)",€18.50,VanstaalRecords,Private Recordings (2),"P-0475001, 0475001","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/2583152412
"Pino Presti & Garden Planet - Sharade (LP, Album, Ltd)",€19.00,VanstaalRecords,Private Recordings (2),"P-0475001, 0475001","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/2583150687
"Wacław Zimpel - Train Spotter (LP, Album)",$90.00,AstoriaVinyl,The State51 Conspiracy,CON912LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),N/A,Ships From:United States,https://www.discogs.com/sell/item/3896141590
"Ruby Rushton - Two For Joy (LP, Album, Ltd, Num, RE, RP, Red)",$36.00,discodefacto,22a,22a006,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.56,Ships From:United States,https://www.discogs.com/sell/item/3896136700
Conic Rose - Heller Tag (LP),$21.00,discodefacto,Not On Label (Conic Rose Self-released),CONICROSE LP01,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:United States,https://www.discogs.com/sell/item/3428430177
"Lonnie Holley - Oh Me Oh My (LP, Album, Cle)",€26.80,domkam,Jagjaguwar,"JAG437, JAG437LP-C1","Near Mint (NM or M-)

                    



                                                A nearly perfect record",Mint (M),4.22,Ships From:Austria,https://www.discogs.com/sell/item/2577108741
"Lars Bartkuhn - Dystopia (LP, Album)",€17.90,Signore-Barbarossa,Rush Hour (4),RHM 042,"Near Mint (NM or M-)

                    



                                                A nearly perfect record",Near Mint (NM or M-),4.57,Ships From:Germany,https://www.discogs.com/sell/item/2605235211
"L'Eclair - Polymood (LP, Album, RE)",CHF31.31,FlonRecords,Les Disques Bongo Joe,BJRA03,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:Switzerland,https://www.discogs.com/sell/item/2771092765
"Hidden Orchestra - To Dream Is To Forget (2xLP, Album, Ltd, Smo)",€99.00,Scanibal,Lone Figures,LF001,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.58,Ships From:Germany,https://www.discogs.com/sell/item/2929311499
"Various - (El Mundo Es Sonido) The World Is Sound / Second: The Place (12"", Comp)",€13.00,worldbeat,Imaginària,I-MA-003,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/2917635100
"Kuniyuki Takahashi - Divine Harmonics-Together (Introduction) (12"", S/Sided, Ltd, TP, Han)",€175.00,.M4.,Sacred Rhythm Music,SRM. SP-3TP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.00,Ships From:Italy,https://www.discogs.com/sell/item/3770516574
"Sam Gendel, Marcella Cytrynowicz - Audiobook (LP, Album)",$21.99,JonLD,Psychic Hotline,PSY031,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.08,Ships From:United States,https://www.discogs.com/sell/item/3896083609
"Psyché (4) - Psyché (LP, Album)",$28.00,discodefacto,Four Flies Records,FLIES 59,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.35,Ships From:United States,https://www.discogs.com/sell/item/3896047636
"François Jeanneau - Une Bien Curieuse Planète (LP, Album, RE, RM)",$25.00,Sparky20,SouffleContinu Records,FFL076,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.62,Ships From:United States,https://www.discogs.com/sell/item/3895950487
Various - Slow (Motion And Movement) (LP),£18.89,netdiscs,Be With Records,BEWITH135LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:United Kingdom,https://www.discogs.com/sell/item/3895933849
"Various - 391 | Selezione 2 (LP, Comp)",£8.39,netdiscs,Spittle Records,SPITTLE2001,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.33,Ships From:United Kingdom,https://www.discogs.com/sell/item/3895933519
"Den Osynliga Manteln - Under Gr​ö​n Himmel (LP, Album, Tra)",€29.00,jonassonsgrabb,Castles in Space,CiS143,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),5.00,Ships From:Sweden,https://www.discogs.com/sell/item/3130017046
"Sen Morimoto - Diagnosis (LP, Album, Yel)",€24.99,Picture.Disc,Sooper Records,SLANG50486,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.75,Ships From:Italy,https://www.discogs.com/sell/item/3714517366
"Damon Locks & Rob Mazurek - New Future City Radio (LP, Album, Ltd, Gol)",€32.99,underworld_records,International Anthem Recording Company,IARC0068,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.33,Ships From:Germany,https://www.discogs.com/sell/item/2654938623
"Algiers (2) - Shook (2xLP, Album, Ltd, Gol)",€32.99,underworld_records,Matador,OLE1784LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.46,Ships From:Germany,https://www.discogs.com/sell/item/2635626552
"Stemeseder* - Lillinger* - Penumbra (LP, Album, Ltd)",€28.99,underworld_records,Plaist,Plaist 013,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Germany,https://www.discogs.com/sell/item/2511297236
"High Pulp - Days In The Desert (LP, Album)",€26.99,underworld_records,Anti-,880001,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.44,Ships From:Germany,https://www.discogs.com/sell/item/2679382938
"A Certain Ratio - 1982 (LP, Album, Ora)",€28.99,underworld_records,Mute,STUMM480,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.51,Ships From:Germany,https://www.discogs.com/sell/item/2466799142
"Melanie De Biasio - Il Viaggio (Lay Your Ear To The Rail / The Chaos Azure) (2xLP, Album)",€28.99,underworld_records,[PIAS] Le Label,PIASLL202LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.61,Ships From:Germany,https://www.discogs.com/sell/item/2873491501
"The Notwist - Vertigo Days Live From Alien Research Center (LP, Album)",€29.99,underworld_records,Morr Music,mm 194,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.61,Ships From:Germany,https://www.discogs.com/sell/item/2388263908
"MOORIS - I (LP, Ltd)",€20.35,LunarCaustic,Holuzam,ZAM034,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),3.67,Ships From:Portugal,https://www.discogs.com/sell/item/3442541073
"Sheldon Suter - Berceuses Et Nocturnes (LP, Album)",€17.99,LunarCaustic,Shhpuma,SHH084LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Portugal,https://www.discogs.com/sell/item/3424894470
